CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
1004	1027	1	0.7571	-0.000
308	612	2	0.8159	-410.052
259	1064	2	0.9893	0.000
612	1064	2	0.8197	410.052
259	1145	2	0.9893	0.001
612	1024	2	0.8156	410.052
212	1024	2	1.0	0.000
1024	1110	2	0.7965	93.249
259	612	2	0.8236	-410.052
308	1024	2	0.9873	-0.000
308	1145	2	0.9884	0.000
212	1145	2	0.9879	0.001
259	1024	2	0.9899	0.000
308	1064	2	0.9884	-0.001
530	1145	2	0.9898	0.001
530	1064	2	0.9898	0.000
212	259	2	0.9899	0.000
1064	1145	2	1.0	0.001
530	612	2	0.8181	-410.051
212	1110	2	0.7965	93.250
259	530	2	0.9897	-0.000
1024	1145	2	0.9879	0.000
308	530	2	0.9891	-0.001
212	530	2	0.9891	-0.000
212	612	2	0.8156	-410.052
530	1024	2	0.9895	0.001
308	1110	2	0.7863	93.249
212	1064	2	0.9879	0.000
1064	1110	2	0.7845	93.250
1110	1145	2	0.7845	-93.249
212	308	2	0.9873	0.001
612	1145	2	0.8197	410.052
1024	1064	2	0.9879	-0.000
530	1110	2	0.7876	93.250
259	308	2	0.9913	0.001
259	1110	2	0.7851	93.250
291	294	3	0.9376	-146.034
753	771	3	0.9498	-0.000
297	587	3	1.0	-0.000
220	294	3	0.8991	46.008
221	388	3	1.0	0.000
443	550	3	0.846	-16.000
548	587	3	0.9598	31.994
295	977	3	0.8837	-176.045
388	487	3	0.9631	-146.033
580	771	3	0.9488	14.015
293	977	3	0.7736	-192.064
228	487	3	0.9718	0.002
295	298	3	0.9556	-162.031
444	616	3	0.6954	-121.022
388	753	3	0.9462	-176.046
293	294	3	1.0	0.001
226	297	3	0.9069	30.011
365	444	3	0.7171	65.066
859	977	3	0.7476	-338.099
220	230	3	0.8442	-178.048
294	296	3	0.869	-162.054
229	587	3	0.9464	60.022
220	293	3	0.8966	46.007
293	298	3	0.8596	-178.050
291	293	3	0.9362	-146.035
296	859	3	0.7916	308.088
230	769	3	0.9011	-2.014
231	487	3	0.9678	30.014
388	551	3	0.9339	-176.046
297	548	3	0.9586	-31.994
227	548	3	0.9778	0.001
229	548	3	0.96	28.029
551	771	3	0.9623	-0.001
226	580	3	0.9083	-60.021
859	1153	3	0.7916	-308.088
293	859	3	0.9362	146.035
298	859	3	0.832	324.085
227	487	3	0.9646	-14.009
443	770	3	0.7743	-16.001
230	771	3	0.9628	-14.014
227	229	3	0.9616	-28.028
232	748	3	0.8623	-440.601
226	771	3	0.9151	-46.006
444	553	3	0.691	-121.020
232	769	3	0.7256	17.027
221	228	3	0.9625	-146.035
297	298	3	0.9494	-15.997
753	977	3	0.8467	46.006
229	487	3	0.9611	14.019
294	298	3	0.8596	-178.051
227	365	3	0.8109	-97.088
487	548	3	0.958	14.009
298	977	3	0.8946	-14.014
231	388	3	0.9725	176.047
229	1153	3	0.8386	60.022
229	552	3	0.8821	-35.036
445	550	3	0.7036	65.067
230	770	3	0.9011	-2.013
291	859	3	1.0	0.000
228	771	3	0.9655	-30.011
227	296	3	0.966	31.994
228	297	3	0.9583	46.006
487	587	3	0.9542	46.003
227	445	3	0.8042	-97.088
365	550	3	0.7038	65.067
485	753	3	0.7909	-322.106
296	1153	3	1.0	0.000
221	753	3	0.9462	-176.046
365	1153	3	0.7016	129.083
229	580	3	0.9385	-30.009
444	550	3	0.9755	0.001
295	297	3	0.958	-146.034
226	977	3	0.9719	-0.000
579	770	3	0.7223	17.028
300	616	3	0.8952	-46.005
291	1153	3	0.7916	-308.088
580	977	3	0.8583	60.021
221	230	3	0.9482	-162.032
443	769	3	0.7743	-16.001
293	296	3	0.869	-162.053
226	298	3	0.9274	14.014
580	753	3	0.9338	14.015
232	552	3	0.9116	-14.015
297	977	3	0.8605	-30.011
231	771	3	0.9795	0.000
294	587	3	0.8851	-162.054
388	771	3	0.967	-176.046
551	580	3	0.8634	-14.015
291	977	3	0.7476	-338.099
226	753	3	0.8916	-46.006
221	551	3	0.9339	-176.046
231	753	3	0.9595	0.000
228	231	3	0.972	-30.012
226	231	3	0.9158	-46.006
296	365	3	0.7016	-129.083
228	548	3	0.9635	14.011
298	587	3	0.9494	15.997
579	769	3	0.7223	17.027
443	444	3	0.8398	-16.001
295	587	3	0.958	-146.034
228	388	3	0.9625	146.035
293	1153	3	0.869	-162.053
553	616	3	0.9009	-0.002
226	551	3	0.8962	-46.005
296	548	3	0.9303	-31.994
226	295	3	0.9286	176.044
227	587	3	0.9645	31.994
586	859	3	0.9108	15.994
291	295	3	0.8806	-162.054
445	1153	3	0.6953	129.083
230	551	3	0.9661	-14.014
220	221	3	0.8751	-16.016
227	297	3	0.9645	31.995
294	1153	3	0.869	-162.054
230	753	3	0.9443	-14.014
230	388	3	0.9482	162.032
291	586	3	0.9108	-15.993
230	231	3	0.9585	-14.015
221	231	3	0.9725	-176.047
229	296	3	0.8386	60.022
294	295	3	0.8907	-16.020
231	580	3	0.9548	-14.015
548	1153	3	0.9303	31.994
230	298	3	0.9529	46.005
552	580	3	0.6658	5.027
220	485	3	0.8726	130.043
221	771	3	0.967	-176.046
296	445	3	0.6953	-129.083
229	297	3	0.9464	60.023
487	771	3	0.9635	-30.014
365	548	3	0.8166	97.089
552	579	3	0.8789	14.015
579	748	3	0.8663	-440.601
228	229	3	0.9651	-14.017
226	587	3	0.9079	30.010
769	770	3	1.0	0.001
