#OTU ID	CWB1	MRM1	CWB3	FPP2	FWB2	MWB2	RPP1	RPB2	BRM1	FRR2	CRR1	BRM2	SPB2	BWB3	RRR2	BRR1	CPP2	MRR1	MPB1	SRM1	SPP3	BPP3	BWB1	BRM3	MRM3	SRR2	BWA1	CWA3	RPP3	RPB3	BWB2	CPB3	CWA1	FWA1	SPB3	MPB2	CRM3	RRR1	BWA2	SRM3	RWA3	RRM2	MPP3	FWB1	SWB2	SWA3	CRR3	MRM2	CRR2	RWB1	SRR1	FRM3	FRR3	SWB1	FPB3	RWB2	MRR2	MRR3	RRM1	FWA3	CPP3	MWA3	MPP2	BRR2	BPB1	RRM3	BPB2	CRM2	MPB3	FRR1	SPP1	BPP1	FWA2	SWA1	BWA3	FPP1	CPB2	CWB2	FPP3	MWB3	SWB3	BRR3	RPP2	CPP1	MWB1	SRM2	BPP2	SPB1	FPB1	RWA2	SRR3	RWB3	FWB3	BPB3	RPB1	SWA2	MPP1	FPB2	RWA1	MWA1	CWA2	FRM1	SPP2	RRR3	CRM1	CPB1	FRM2	MWA2
309.1183_344.2704	1445.860362	2780.570531	1327.080286	2704.531146	1749.479408	4131.330682	2989.995972	4661.840408	1709.129572	2085.377232	3403.799778	2037.664757	2554.886283	1315.652735	3433.246447	2846.956193	2574.786213	3624.245611	3715.125028	2114.233133	2660.912518	2875.618945	1968.151255	1295.046092	2791.004195	2085.973993	3207.827785	2512.710846	3442.466999	2680.602024	1221.200571	2302.633553	3475.121891	2030.889777	3665.632545	4801.417356	2667.934547	3302.038607	3191.791201	3005.057226	1945.299063	1680.989036	9850.734941	1457.357392	2027.90617	2464.280669	2733.92976	2962.58298	2519.123275	1275.410554	2446.430876	2410.538572	2317.777171	2186.543253	3421.860007	1313.593782	4183.881845	3296.519665	1867.704103	2693.320694	2399.226249	6124.160197	7140.264154	2884.480881	3159.869781	1823.547403	2304.435644	2637.224698	4536.705647	1896.666966	3925.490933	3787.605888	1875.250919	2295.657633	3351.30547	2535.253057	2003.510771	1285.172068	3942.579055	2656.636007	2428.784203	3178.027214	2712.961829	3032.573696	3949.269968	2475.796263	3397.475592	2864.100219	3577.055425	2012.077032	2278.676601	1471.559108	1497.914574	3100.410832	2650.96846	2145.869557	6395.688006	3231.612049	1738.257559	4364.445651	2378.830012	2365.694742	3828.32707	4671.405121	2777.295309	1926.890917	2479.040076	5463.790644
118.0869_ 23.9214	846.172838	3860.805264	733.102697	2128.981305	5073.914607	9733.238252	6586.384066	6216.99087	3687.831854	1393.761807	1227.603236	3379.407236	5274.992714	7601.562172	7757.277195	5570.89048	3916.407797	4784.426501	4828.805472	2786.857804	1835.432924	3592.805767	7718.536407	3113.963009	3392.227068	4273.10704	2036.124152	2357.928086	6382.558076	5865.020311	6857.61775	897.9756738	1464.183105	1713.872894	3430.632407	6238.20372	1532.89641	9112.814909	132.3735276	3377.636167	9559.797679	7248.962019	1073.819752	4213.778269	4569.849951	2886.84218	1416.798753	3770.774928	1277.316913	7407.665299	4414.42792	3089.422236	1926.296861	5278.42157	2146.17881	8235.977539	4314.348189	4610.744722	6752.120581	1925.695587	2868.753019	3597.925803	3012.034797	6484.747401	4911.875534	5612.675782	3083.918849	1414.602976	3069.057708	1401.00271	4094.897224	4642.433307	2788.299837	2259.774159	3006.399863	2243.403266	1070.991589	662.3395672	2152.840442	8276.617935	4992.733282	6111.152908	4755.69152	3744.940063	7423.442401	3239.82891	5393.089429	3572.000393	2604.928022	8444.624657	4647.846544	8427.753057	2775.240777	4600.615602	5825.45862	2978.496587	3563.396109	2757.617406	8318.213624	7274.027172	2155.748325	1474.239163	3130.326496	7665.167028	1056.176778	1059.749572	1852.941069	6399.571696
182.0830_ 36.4809	4740.606362	26230.69146	5656.90044	49127.25044	51791.18252	33917.75043	46442.3201	38453.11319	23399.14997	45588.88671	8299.287071	22008.885	38194.57131	24765.17751	28497.25457	20422.35284	27203.716	24083.89583	30320.21756	24079.5873	32074.76393	38672.93858	25006.61041	22378.84421	21663.20241	32763.4782	7781.853378	19972.19986	40931.39141	39284.05724	27771.88549	6969.381724	740.9234887	26416.69985	21637.88685	35873.24525	4268.504967	29986.9387	705.7485808	24321.20409	28919.84414	35196.88561	14529.91736	51673.41289	23927.76839	38885.16709	6668.051598	26231.25144	8890.357763	34676.53377	30331.02788	49581.7603	35490.51847	23426.78464	33022.5993	37011.37228	25954.54564	23606.20794	30273.11681	23052.22044	26677.22207	20928.79934	35677.76833	27879.49317	28264.72982	35235.14711	22486.11606	7488.207938	33693.05245	44882.07232	31524.06036	35916.48772	25664.43241	34377.96558	7366.736381	36242.63015	8524.117692	4658.95731	41221.34497	28830.96067	31332.95856	29769.38909	41554.73738	517.5729768	27230.14456	27103.15033	42058.19569	30432.98984	30095.71815	25465.90147	34752.15604	36126.389	56959.89486	29551.22938	37442.82251	32858.77849	36154.76307	34406.41183	27905.01377	24676.07809	19186.06789	38865.45448	30780.54195	23941.12903	7695.458738	6877.460446	54843.20578	25963.98088
147.0485_ 31.3169	401.8727353	894.9603876	420.0009273	2259.961313	1080.43601	1174.260681	1191.717459	1011.84162	543.1012547	3810.639842	487.8833515	446.9668669	240.7380258	780.3694651	443.6345068	590.7432366	563.7547385	640.2292211	851.6005864	1715.053417	1690.477233	783.5771314	842.8781136	480.8881084	747.1339105	790.928573	497.8272894	1430.624538	352.8697899	507.4628571	823.8158925	527.2242959	539.0773039	368.0098628	1142.160653	900.6324236	365.8623202	492.4811567	919.1192198	619.5371676	682.5246083	1165.537193	3862.81939	2555.716041	667.4300718	870.0751096	491.3409502	870.475604	504.7901635	1340.383087	897.4519581	626.6443893	121.7562451	238.5893333	449.0572875	1305.370817	699.2168522	614.8353249	1012.872536	1629.135363	567.8898984	1126.262323	1348.710983	837.5646008	662.4424094	1166.016563	1492.325775	341.7178774	430.3130022	2881.344631	1955.165455	302.0730236	394.5228522	876.5036478	448.3455347	1375.178089	669.8326843	459.0681913	1602.831821	954.248509	740.5070114	784.2784491	1087.142137	521.1927154	358.0450226	550.5691425	1128.559485	981.785665	418.1558189	624.410128	2455.312855	1246.438319	2540.130639	664.8258592	991.6097371	804.3968315	1198.233497	404.0023455	783.1714345	560.1489565	1353.840853	737.1481558	1737.362302	330.6868794	353.9345359	614.4684628	3720.917364	789.182551
659.9844_ 42.5390	813.6267675	2667.558436	714.7118804	574.6859681	3963.132837	1625.504876	5443.676689	6791.200764	2449.900065	1214.192477	1136.190899	3013.591168	622.028196	1333.165016	5151.506	4068.067647	1783.109181	2615.552885	8269.725693	10051.00609	5128.101239	13910.31759	1439.429473	2418.754555	6285.881031	491.0906267	4360.75389	993.2500582	5247.789524	5656.469419	1420.705142	1440.65078	9061.264565	2028.787677	10027.81366	9413.837618	1234.176675	4951.278253	10977.53443	3112.311408	2274.741079	3124.280222	8578.605544	2867.440236	2807.807873	2577.651746	1580.461626	2801.593274	1470.435742	1612.391511	95.4047019	3377.081993	439.6680642	181.5955863	9230.593936	1775.798814	2750.063554	2289.400142	639.188939	3759.982579	1852.916579	13618.36824	6922.051358	3278.597939	5894.275982	3544.33468	14764.21451	974.2384864	11445.32503	989.0887945	8128.683507	10828.29696	4295.965812	2873.812287	1504.653577	646.5978187	1849.4153	752.3340442	2087.557332	1248.136738	3014.88913	3898.646351	6763.556594	1630.954029	713.7363314	683.3413446	5647.483479	308.6525475	5199.172617	2607.44566	504.2472944	1452.74716	2553.623304	11599.64674	8293.052847	2532.46487	3926.709917	7694.973604	2856.779415	2150.15436	1456.138823	3380.497679	7974.82433	5320.467321	1415.413964	727.6094484	2939.665061	2297.152664
560.3948_345.5929	5738.289642	12425.1048	5859.211015	13985.49687	6910.196419	17612.2637	19124.00193	19558.06383	8798.254543	8030.641087	15108.27187	9721.874228	13090.04218	6940.242825	17541.77001	12494.09729	11630.20092	13728.45307	16765.84541	11660.87087	12020.97385	19577.54473	6000.080564	6425.305149	12473.15315	10304.59552	14336.11257	11559.98321	20433.97634	13482.87612	10352.40897	7004.004244	19430.15668	10137.46012	13864.88694	18526.97554	12027.50379	18531.36568	16294.77845	10973.18234	10813.72172	8297.35497	19770.66091	5497.154235	7149.05514	12472.47992	15685.97498	14158.42498	12324.83858	6089.203473	9508.883372	10528.9655	7140.939932	7848.08886	12345.95189	6662.3951	14888.56874	13726.07784	8311.549449	10754.09353	11525.23985	23318.64904	15546.90856	12247.04647	14955.16267	7516.810692	12549.93469	12084.75692	19421.97889	8393.656468	16726.42581	19290.06834	9635.603601	14082.69635	14360.00584	13227.12074	6134.10255	6294.724393	13602.59504	12270.47716	8058.32717	14122.0624	18523.86655	12159.47836	17314.06312	11248.07533	16655.5469	12033.13467	13280.79143	11054.03675	10957.20973	7117.678815	6924.490534	12359.72012	12625.08286	13130.40513	13803.42953	11483.2815	10922.42162	18625.4774	11640.80567	10773.08837	11250.71681	17832.90122	9579.669324	8022.098203	11283.86919	20786.98797
265.1546_245.3792	1780.635814	10286.00071	1857.991227	10113.77735	1480.401978	4342.57741	6496.088387	1926.781125	7765.258577	4281.52627	745.9740525	9895.831463	14383.7036	4398.085045	6450.526473	6462.32542	4575.347072	7379.296255	5339.543435	11249.42701	6341.02299	9336.882002	4750.618852	7663.632495	10445.36788	7355.196331	9322.247241	1587.851403	5586.336548	3704.668928	4078.606294	2399.485856	1511.96782	3367.689169	9247.95372	5667.746869	1188.451796	4466.84662	10059.09609	7988.446695	3028.371593	6434.357859	15335.96867	1566.847952	5597.035587	7880.582842	847.4636319	10778.46202	641.0825133	5650.59241	6185.045766	1780.331413	3609.437203	5650.805014	1760.639091	5786.626641	5773.121885	7295.32926	6095.641222	2775.345641	5617.179628	9961.840965	12788.33153	6478.151114	5786.142496	4919.616505	6384.722378	1081.323325	5167.297132	2403.666422	9177.483857	8110.254105	2692.670265	7171.866854	5027.28457	13642.93432	491.715428	1888.113177	10045.72081	2818.050245	3618.086892	6897.990574	8052.0157	4420.734433	5656.420472	7710.267495	8303.186321	7903.385092	1509.349667	2743.133009	7669.658085	5221.887174	2657.298695	5076.62811	2929.1631	6824.2976	16374.51318	1416.017531	3016.999574	11859.16913	1315.216009	2100.087527	15237.57491	7229.872087	782.7843056	2621.001329	2880.946409	7083.520111
165.0600_ 39.0564	837.2580085	11624.98483	459.5182887	14797.92	11546.00613	16320.41505	15240.16155	13400.31861	6258.966065	9369.48136	242.8081025	6066.625585	12788.7087	10544.91614	10760.78948	7216.337356	6661.832954	8026.830971	11234.6667	4312.575461	13593.40269	9383.407545	10752.32119	5823.286086	9821.186517	9401.284122	1445.0705	6288.574386	14338.26599	13999.19687	10864.62299	408.1214651	2729.883676	6608.03672	4421.438067	13028.45347	369.0911897	11725.16816	103.3257665	7252.317864	9421.104985	15416.0584	3564.149991	11780.07049	8301.28788	13781.85489	1908.108307	11198.64495	690.4756756	18107.34307	10559.06275	9070.499143	6528.207359	10476.94971	8324.304047	18013.37933	9557.772652	7634.216664	14367.35858	5655.018214	6540.144956	5025.110079	17113.46889	11048.22671	7367.825971	15054.49308	5346.533445	451.7946438	11358.32013	9400.163291	8718.007839	13152.57091	6610.5912	12009.69016	1572.336297	12576.0412	680.1783555	315.1611643	14130.1342	14328.73733	10446.08857	11550.75456	14807.61536	5128.248907	13670.40192	8238.473123	13726.61794	11346.2105	8209.604842	8576.262123	13418.15223	18003.64567	11762.71943	8574.236873	13102.81376	10638.31839	14885.93442	9327.915764	7835.268399	6409.056109	6015.898982	9668.305513	9678.773222	9000.207554	289.9884776	1312.86172	9947.404677	6751.141813
381.0802_ 21.5450	6436.479088	3070.407847	6327.588542	5626.184992	8422.222137	2557.959676	3935.546743	5115.833393	2411.319101	6706.676379	4390.020953	2217.147407	5957.605963	1608.974988	4284.363848	1957.046891	5775.061767	2296.923111	5999.76363	6945.432184	5452.070901	4534.443657	1757.603172	2111.456689	3769.654949	3101.855578	3071.416643	18756.6059	4074.761528	4235.022642	1659.849883	6200.652871	25938.49743	9049.882654	5703.895953	5755.685596	7127.456853	4935.793721	4016.185309	5710.961844	3409.498591	1726.169637	5929.719882	8280.424903	3707.904408	8009.054877	4161.933329	2358.786493	4228.316636	1844.614549	2893.541295	5987.349007	7095.902019	4325.417233	5841.810729	2579.175198	2434.805293	2239.492038	538.2293444	8844.873688	5415.598177	6069.953838	6515.586386	3114.642587	4908.73315	2228.773838	6290.014963	6528.423092	5320.914234	5594.332958	5386.549732	5457.733144	6776.660535	6812.880452	3191.669092	6018.789256	7439.087908	6438.466558	7158.887691	1744.833041	4414.828134	2515.841916	3681.074918	5750.103756	1874.293573	5397.786022	5767.094957	6299.544197	5491.532865	3241.850485	4139.193682	2093.738621	8605.488443	5191.248236	6310.41527	7179.275287	4641.253165	5726.137074	2967.371435	3727.889401	17321.46848	6562.583772	6492.015496	4701.179184	5425.706115	6528.593267	6113.723121	3602.694078
130.0762_ 26.5473	715.97467	2237.117984	1078.218862	689.0918414	553.8706735	5347.220524	4587.35832	3005.029645	1280.870215	521.522382	7860.020957	1288.670496	2258.198195	5863.105513	1916.540454	805.1369919	681.9818587	1582.085222	4352.574181	666.7533357	1375.284524	1253.277068	7406.066722	1634.729729	5708.521314	1478.449645	1456.351162	25609.40762	4726.34928	2663.12341	7152.813445	2823.763741	1707.853869	943.4279412	1393.047612	5430.603167	22401.28263	12547.52159	196.1444191	13557.75442	10605.04134	1032.178945	186.6266483	496.7618961	8564.361916	14812.25741	190.09989	2053.364536	182.6724099	4999.831557	1313.331159	495.5771499	434.7825956	1339.360795	6804.035076	6257.673167	1501.630126	1543.924259	1380.987867	1008.380062	1324.53856	2686.529856	1590.423619	1092.76342	6732.785657	1060.233015	1605.029534	16666.12776	3718.549023	463.2081229	1433.822485	1411.389677	1024.634901	12687.09311	2723.997482	969.5770731	2892.957842	894.8539607	992.5473186	4784.446047	9429.817959	1093.717493	5277.135691	2085.881156	1688.395599	14371.39458	1853.011416	2016.106917	5549.53886	11060.66738	1723.293842	8711.645174	582.7837633	6266.315096	8701.627545	13910.40018	1797.581414	6071.173204	8863.270181	10616.81325	30655.94241	485.4743986	1542.342813	1808.290441	16326.27454	1249.29791	520.4234941	4216.952204
