#OTU ID,C18p_CWB1_5ul_BD8_01_7590,C18p_MRM1_5ul_GD1_01_7522,C18p_CWB3_5ul_BE2_01_7592,C18p_FPP2_5ul_RC1_01_7635,C18p_FWB2_5ul_BD6_01_7587,C18p_MWB2_5ul_GC1_01_7507,C18p_RPP1_5ul_GE5_01_7543,C18p_RPB2_5ul_BA8_01_7557,C18p_BRM1_5ul_GC6_01_7518,C18p_FRR2_5ul_RA8_01_7616,C18p_CRR1_5ul_RB2_01_7619,C18p_BRM2_5ul_GC7_01_7519,C18p_SPB2_5ul_RC7_01_7644,C18p_BWB3_5ul_GB7_01_7504,C18p_RRR2_5ul_GD5_01_7528,C18p_BRR1_5ul_GD7_01_7531,C18p_CPP2_5ul_RC4_01_7639,C18p_MRR1_5ul_GE2_01_7535,C18p_MPB1_5ul_BB5_01_7564,C18p_SRM1_5ul_BE3_01_7598,C18p_SPP3_5ul_RB7_01_7632,C18p_BPP3_5ul_BA3_01_7549,C18p_BWB1_5ul_GB5_01_7502,C18p_BRM3_5ul_GC8_01_7520,C18p_MRM3_5ul_GD3_01_7524,C18p_SRR2_5ul_RA5_01_7612,C18p_BWA1_5ul_GA4_01_7489,C18p_CWA3_5ul_BD1_01_7579,C18p_RPP3_5ul_GE7_01_7545,C18p_RPB3_5ul_BB1_01_7558,C18p_BWB2_5ul_GB6_01_7503,C18p_CPB3_5ul_RD6_01_7653,C18p_CWA1_5ul_Rerun_BC7_01_7679,C18p_FWA1_5ul_BC4_01_7573,C18p_SPB3_5ul_RC8_01_7645,C18p_MPB2_5ul_BB6_01_7565,C18p_CRM3_5ul_RA3_01_7608,C18p_RRR1_5ul_GD4_01_7527,C18p_BWA2_5ul_Rerun_GA5_01_7684,C18p_SRM3_5ul_BE5_01_7600,C18p_RWA3_5ul_GA3_01_7487,C18p_RRM2_5ul_GC4_01_7515,C18p_MPP3_5ul_Rerun_BA6_01_7676,C18p_FWB1_5ul_BD5_01_7586,C18p_SWB2_5ul_BD3_01_7583,C18p_SWA3_5ul_RerunSet_BC3_01_7667,C18p_CRR3_5ul_RB4_01_7621,C18p_MRM2_5ul_GD2_01_7523,C18p_CRR2_5ul_RB3_01_7620,C18p_RWB1_5ul_GB2_01_7498,C18p_SRR1_5ul_RA4_01_7611,C18p_FRM3_5ul_BE8_01_7604,C18p_FRR3_5ul_RB1_01_7617,C18p_SWB1_5ul_BD2_01_7582,C18p_FPB3_5ul_RD3_01_7649,C18p_RWB2_5ul_GB3_01_7499,C18p_MRR2_5ul_GE3_01_7536,C18p_MRR3_5ul_GE4_01_7537,C18p_RRM1_5ul_GC3_01_7511,C18p_FWA3_5ul_BC6_01_7575,C18p_CPP3_5ul_RC5_01_7640,C18p_MWA3_5ul_GB1_01_7495,C18p_MPP2_5ul_BA5_01_7552,C18p_BRR2_5ul_GD8_01_7532,C18p_BPB1_5ul_BB2_01_7560,C18p_RRM3_5ul_GC5_01_7516,C18p_BPB2_5ul_BB3_01_7561,C18p_CRM2_5ul_RA2_01_7607,C18p_MPB3_5ul_BB7_01_7566,C18p_FRR1_5ul_RA7_01_7615,C18p_SPP1_5ul_RB5_01_7630,C18p_BPP1_5ul_BA1_01_7547,C18p_FWA2_5ul_BC5_01_7574,C18p_SWA1_5ul_RerunSet_BC1_01_7665,C18p_BWA3_5ul_GA6_01_7491,C18p_FPP1_5ul_RB8_01_7634,C18p_CPB2_5ul_RD5_01_7652,C18p_CWB2_5ul_BE1_01_7591,C18p_FPP3_5ul_RC2_01_7636,C18p_MWB3_5ul_GC2_01_7508,C18p_SWB3_5ul_BD4_01_7584,C18p_BRR3_5ul_GE1_01_7533,C18p_RPP2_5ul_GE6_01_7544,C18p_CPP1_5ul_RC3_01_7638,C18p_MWB1_5ul_GB8_01_7506,C18p_SRM2_5ul_BE4_01_7599,C18p_BPP2_5ul_BA2_01_7548,C18p_SPB1_5ul_RC6_01_7643,C18p_FPB1_5ul_RD1_01_7647,C18p_RWA2_5ul_GA2_01_7486,C18p_SRR3_5ul_RA6_01_7613,C18p_RWB3_5ul_GB4_01_7500,C18p_FWB3_5ul_BD7_01_7588,C18p_BPB3_5ul_BB4_01_7562,C18p_RPB1_5ul_BA7_01_7556,C18p_SWA2_5ul_RerunSet_BC2_01_7666,C18p_MPP1_5ul_BA4_01_7551,C18p_FPB2_5ul_RD2_01_7648,C18p_RWA1_5ul_GA1_01_7485,C18p_MWA1_5ul_GA7_01_7493,C18p_CWA2_5ul_BC8_01_7578,C18p_FRM1_5ul_BE6_01_7602,C18p_SPP2_5ul_RB6_01_7631,C18p_RRR3_5ul_GD6_01_7529,C18p_CRM1_5ul_RA1_01_7606,C18p_CPB1_5ul_RD4_01_7651,C18p_FRM2_5ul_BE7_01_7603,C18p_MWA2_5ul_GA8_01_7494
309.1183_344.2704,520617,1375620,457927,707539,418896,1505490,902671,1458850,961749,529911,992703,1091590,786475,583064,1216920,1231610,569764,2183330,1326420,891953,978634,912276,849505,764053,1388300,790434,1814250,396835,1052730,813753,529236,507447,444347,684982,1209970,1551720,628053,1085430,1921980,1208140,591475,645896,3458170,357476,1003030,919559,783715,1479730,734727,480346,1114520,711774,576898,917931,947620,490583,2265010,2027790,771800,829783,501075,1797490,2986170,1303120,1246900,705071,833863,651568,1519450,527577,1183860,1307010,654370,908194,1899690,773294,364075,452137,1062960,1161970,1015970,1306370,818294,671906,1478220,984074,1160030,1078680,997772,619042,826528,493989,340600,1170700,829144,871036,2614510,866075,513546,1487140,374086,662332,1105530,1510900,839581,386022,658869,1822040
118.0869_ 23.9214,304685,1910040,252967,556968,1214900,3546870,1988410,1945510,2075190,354166,358025,1810370,1623810,3368820,2749580,2410000,866646,2882250,1724040,1175720,675038,1139800,3331520,1837180,1687360,1619200,1151570,372390,1951830,1780450,2971910,197893,187218,578058,1132400,2016060,360856,2995520,79710.5,1357930,2906690,2785310,376972,1033600,2260310,1077240,406143,1883400,372542,2789880,2011080,912232,479458,2215930,594344,3075860,2335640,2836210,2790210,593286,599135,1056020,1259680,2929610,1938250,2170130,1115920,349500,1027900,389703,1234950,1601990,972979,893998,1704180,684275,194619,233018,580428,3620060,2088480,2512070,1434430,829740,2778610,1287760,1841410,1345290,726610,2598100,1685880,2829120,631042,1737170,1822030,1209010,1456690,739044,2457510,2478550,339005,412748,903964,2479190,319284,212304,492467,2134100
182.0830_ 36.4809,1706970,12977000,1951990,12852300,12400900,12359900,14020800,12033300,13167000,11584500,2420450,11790300,11757500,10975300,10100900,8834830,6019800,14508700,10825300,10158700,11796500,12268800,10793500,13203100,10775700,12415000,4401180,3154230,12517100,11925500,12035600,1535890,94738.29688,8909870,7142340,11593500,1004840,9857160,424976,9777990,8793180,13523900,5100830,12675000,11835000,14510200,1911480,13101800,2592960,13059900,13817900,14640300,8833640,9834780,9144990,13822500,14050900,14520900,12509900,7102140,5571500,6142770,14921000,12595100,11153400,13623600,8136630,1850080,11284600,12484400,9507110,12393900,8955620,13600400,4175840,11054600,1548990,1639070,11113700,12610200,13106700,12237100,12533900,114675,10192300,10772900,14360300,11461700,8394800,7834920,12605400,12127300,12951700,11158400,11711000,13337800,14779800,9220950,8244180,8408120,3017130,10881300,8888690,7743420,2326350,1377790,14576000,8658350
147.0485_ 31.3169,144704,442760,144927,591234,258700,427910,359776,316640,305610,968314,142289,239443,74106.79688,345840,157247,255559,124751,385689,304049,723547,621726,248586,363808,283715,371639,299705,281556,225940,107910,154051,357020,116188,68929.20313,124123,377010,291066,86126.89844,161886,553460,249076,207524,447841,1356070,626893,330120,324673,140849,434779,147227,504816,408852,185033,30305.30078,100162,124358,487512,378532,378204,418554,501919,118603,330567,564052,378386,261403,450838,540000,84426.79688,144122,801475,589644,104238,137669,346757,254145,419452,121721,161505,432140,417373,309757,322388,327908,115477,134017,218839,385334,369761,116639,192108,890598,418418,577582,251035,310146,326515,489829,108273,231378,190865,212900,206382,501709,106956,106995,123099,988930,263173
659.9844_ 42.5390,292966,1319710,246621,150345,948934,592347,1643430,2125200,1378590,308536,331365,1614400,191480,590825,1825960,1759870,394577,1575670,2952560,4240320,1886020,4412980,621295,1427020,3126720,186088,2466310,156865,1604810,1717140,615696,317486,1158620,684273,3310030,3042360,290535,1627560,6610270,1251260,691643,1200460,3011580,703356,1388780,961864,453059,1399320,428867,607260,43463.5,997171,109434,76235.5,2556240,663201,1488790,1408280,264135,1158410,386979,3997100,2894910,1481170,2325910,1370410,5342450,240701,3833310,275125,2451470,3736580,1499080,1136920,852914,197223,336073,264679,562827,545915,1261140,1602590,2040050,361359,267153,271613,1928270,116245,1450240,802215,182902,487674,580650,4379970,2593820,1027960,1605210,2062260,843999,732643,228987,946450,2302940,1720830,427882,145765,781292,766044
560.3948_345.5929,2066210,6147020,2021800,3658780,1654580,6418050,5773480,6120390,4950890,2040650,4406260,5208070,4029530,3075740,6217710,5405020,2573600,8270340,5985950,4919490,4421090,6210880,2589790,3790810,6204390,3904700,8108070,1825680,6248850,4093010,4486460,1543520,2484440,3419180,4576590,5987540,2831370,6091540,9812120,4411610,3287950,3188140,6940630,1348400,3536020,4654170,4496580,7071750,3594660,2293320,4331960,3108950,1777390,3294700,3418980,2488180,8060160,8443330,3434620,3313220,2407030,6844210,6501960,5532840,5901380,2906360,4541210,2985730,6504880,2334780,5044400,6656530,3362350,5571310,8139980,4034490,1114680,2214550,3667400,5366910,3370830,5805060,5587240,2694090,6480690,4470860,5686850,4531930,3704500,3400920,3974430,2389340,1574510,4666970,3948750,5329800,5642740,3077530,3226890,6346440,1830590,3016180,3248940,5767800,2895950,1607100,2998980,6931950
265.1546_245.3792,641161,5088750,641125,2645890,354468,1582470,1961150,602956,4369610,1087970,217560,5301260,4427760,1949120,2286400,2795640,1012460,4445460,1906390,4745910,2332110,2962080,2050490,4521400,5195730,2787090,5272380,250771,1708340,1124630,1767560,528791,193328,1135860,3052610,1831700,279771,1468320,6057220,3211640,920787,2472310,5383800,384333,2768370,2940680,242936,5383550,186978,2128130,2817720,525689,898394,2372260,487576,2161110,3125370,4487580,2518930,855054,1173140,2923880,5348280,2926630,2283240,1902160,2310320,267158,1730650,668604,2767770,2798650,939609,2837290,2849720,4161320,89353.79688,664258,2708430,1232570,1513460,2835510,2428680,979471,2117210,3064660,2835030,2976580,421013,843961,2781960,1752940,604224,1916910,916155,2770070,6693780,379494,891334,4040890,206826,587969,4400250,2338400,236637,525076,765686,2362180
165.0600_ 39.0564,301475,5751180,158563,3871320,2764580,5947290,4600960,4193420,3522000,2380860,70813.89844,3249930,3936770,4673240,3814180,3121830,1474170,4835550,4011140,1819390,4999400,2976840,4640980,3435630,4885250,3562410,817288,993161,4384740,4249750,4708440,89940.5,349057,2228770,1459450,4210530,86887,3854240,62219,2915690,2864520,5923400,1251220,2889540,4105930,5142770,546983,5593420,201384,6819600,4810390,2678300,1624880,4398320,2305260,6727390,5174250,4696040,5937090,1742250,1365900,1474910,7157120,4991250,2907380,5820790,1934650,111623,3804170,2614750,2629200,4538630,2306770,4751200,891280,3835900,123601,110877,3809630,6267160,4369640,4748090,4466330,1136230,5116860,3274610,4686800,4273220,2289960,2638600,4867070,6043660,2674640,3237590,4098170,4318230,6085260,2499890,2314830,2183820,946038,2706870,2795000,2910990,87664,263011,2643780,2251340
381.0802_ 21.5450,2317610,1519010,2183420,1471880,2016620,932141,1188130,1600920,1356880,1704220,1280330,1187740,1833940,713057,1518600,846630,1277940,1383720,2142110,2930140,2005170,1438530,758627,1245720,1875100,1175380,1737100,2962250,1246090,1285630,719335,1366480,3316630,3052360,1882770,1860120,1677860,1622470,2418400,2296010,1036670,663256,2081670,2031110,1833980,2988620,1193070,1178150,1233230,694720,1318210,1767920,1766180,1815850,1617780,963235,1318120,1377580,222415,2725010,1131040,1781580,2724920,1407100,1937010,861751,2276050,1612950,1782100,1556120,1624490,1883330,2364720,2695270,1809200,1835830,1351820,2265120,1930110,763162,1846740,1034170,1110300,1274010,701552,2145500,1969110,2372540,1531790,997398,1501380,702849,1956740,1960190,1973710,2914160,1897310,1534610,876672,1270240,2723910,1837350,1874740,1520530,1640200,1307900,1624880,1201410
130.0762_ 26.5473,257804,1106760,372054,180275,132619,1948570,1384910,940377,720762,132523,2292340,690349,695145,2598380,679321,348307,150913,953085,1554010,281290,505804,397596,3196650,964460,2839530,560226,823668,4044520,1445350,808447,3099840,622292,218375,318201,459824,1755060,5273440,4124560,118111,5450700,3224500,396600,65516.60156,121851,4236050,5527270,54494.5,1025600,53278.19922,1883040,598314,146332,108218,562276,1884250,2337030,812931,949715,570672,310671,276628,788518,665140,493677,2656790,409937,580782,4117630,1245430,128846,432416,487036,357547,5019190,1544100,295737,525704,314819,267601,2092640,3944530,449587,1591710,462154,631970,5712310,632690,759308,1547970,3402960,625078,2924420,132515,2366130,2721610,5646410,734838,1627080,2618540,3617570,4820840,135920,445392,584866,4935460,250277,138316,1406250
